turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
AAER A 70 1500,0,0,0,0,0,0,0,17000,34000,66500,99000,146000,193000,261000,329000,418000,507000,623000,739000,880000,1021000,1177500,1334000,1417000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,0,
AAER A 77 1500,0,0,0,0,0,0,0,20000,40000,79000,118000,175000,232000,313500,395000,501500,608000,747500,887000,1056000,1225000,1337500,1450000,1475000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,,0,,0,,0,,0,,0,,
AMERICAS WIND ENERGY AWE 52 900,0,0,0,0,1000,4062.5,8000,18062.5,31000,47625,69000,93062.5,124000,156813,199000,241875,297000,349500,417000,474750,549000,622500,717000,742375,775000,796875,825000,846875,875000,885938,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,0,
AMERICAS WIND ENERGY AWE 54 900,0,0,0,0,1000,4500,9000,19500,33000,50500,73000,99250,133000,168000,213000,258938,318000,374438,447000,508250,587000,665750,767000,794125,829000,852625,883000,890438,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,0,
AN BONUS 31,0,,0,,0,,0,,3900,,21700,,46000,,76300,,110600,,146900,,183700,,219200,,248500,,273800,,290400,,296900,,302300,,307000,,307300,,305000,,295000,,280000,,260000,,240000,,230000,,225000,0,
AN BONUS 44,0,,0,,0,,3900,,21200,,49300,,83200,,130700,,202000,,280800,,361600,,433700,,498600,,548100,,577300,,596000,,610000,,606900,,593400,,571300,,545600,,524700,,510000,,500700,,478700,,457700,0,
AN BONUS 54,0,,0,,0,,0,,24100,,69300,,130000,,219100,,333500,,463100,,598100,,730000,,846500,,928800,,972600,,990800,,997200,,999200,,999800,,999900,,1000000,,1000000,,1000000,,1000000,,1000000,,1000000,0,
AN BONUS 62,0,0,0,0,0,0,0,0,32000,57375,90000,125875,172000,221875,286000,353813,441000,521500,625000,710313,820000,901375,1006000,1070310,1153000,1191500,1241000,1258060,1280000,1286130,1294000,1295750,1298000,1298880,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,0,
AN BONUS 76,0,,0,,0,,0,,43000,,133000,,237000,,401000,,623000,,886000,,1190000,,1502000,,1740000,,1891000,,1962000,,1988000,,1996000,,1999000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,,2000000,0,
AN BONUS 82,0,,0,,0,,0,,52000,,148000,,288000,,476000,,729000,,1055000,,1419000,,1769000,,2041000,,2198000,,2267000,,2291000,,2298000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,0,
